label,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_zero_crossings
bumps,1.003473232712933,1.2762380224707304,0.8216820370435269,0.4545559854272034,4.8271661626494495,11.471129995776352,0.662066560098001,10.809063435678352,0.013505,0.0401952926675696,-0.0625,0.0966,0.1591,0.0966,0.0164,0.0722,-0.0556,0.0008631578947368,0.03565,-0.03805,1,0.041915,0.0247278933701663,0.007,0.0972,0.0901999999999999,0.0972,-0.0068999999999999,0.0604999999999999,-0.0484999999999999,-0.0003631578947368,0.0294,-0.0348,0,1.00152,0.1267706740120666,0.819,1.2739,0.4549000000000001,1.2739,-0.0995,0.1735000000000001,-0.1257999999999999,-0.0052368421052631,0.1530499999999999,-0.1199,0,0.046795,1.004931999519318,-1.5225,1.9162,3.4387,1.9162,1.4087,1.9074,-1.5924999999999998,0.0741421052631579,0.945,-1.0456,0,0.1995099999999999,5.957987463097003,-8.1987,11.3488,19.5475,11.3488,-1.6976,4.6637,-6.0287,-0.0893473684210526,4.3925,-5.6,2,0.19032,0.2202264279757254,-0.14,0.6562,0.7962,0.6562,-0.2275,0.5337000000000001,-0.4024999999999999,-0.0119736842105263,0.2537,-0.2887,0
bumps,0.9999834304819468,1.2189288166254828,0.8374802326025375,0.3814485840229453,4.466858120300454,9.070910235472512,0.618007030704344,8.452903204768168,0.001205,0.0604971811000531,-0.1315,0.0912,0.2227,0.1315,-0.0521,0.1239,-0.1014,-0.0027421052631578,0.0565,-0.0744,2,0.0422699999999999,0.0286197226806234,0.0007,0.123,0.1222999999999999,0.123,-0.0146,0.0708,-0.0807,-0.0007684210526315,0.0417499999999999,-0.04725,0,0.99706,0.1112771996317966,0.8373,1.2164,0.3790999999999999,1.2164,-0.0695,0.1207,-0.1305999999999999,-0.0036578947368421,0.1120999999999999,-0.1135999999999999,0,0.260295,1.2728093119986692,-1.9863,2.695,4.6813,2.695,0.0963,1.155,-2.0475,0.0050684210526315,1.1243500000000002,-1.68,0,0.14962,5.21367668537079,-9.0475,7.6825,16.73,9.0475,2.6950000000000003,4.8213,-3.2548999999999997,0.1418421052631578,4.75565,-3.2462,2,0.276495,0.2734695874075253,-0.2275,0.7262,0.9537,0.7262,-0.28,0.8662,-0.455,-0.0147368421052631,0.41565,-0.34565,0
bumps,1.0064619213435335,1.247081095999775,0.850688227260728,0.3963928687390469,4.46033952400951,10.695646120735296,0.5937313702340479,10.101914750501248,0.0215,0.0476108236256818,-0.0431,0.1291,0.1722,0.1291,0.0021999999999999,0.1543999999999999,-0.1074,0.0001157894736842,0.07615,-0.0842,0,0.0367249999999999,0.0237875879841833,0.0052,0.0878,0.0826,0.0878,-0.0306,0.0558999999999999,-0.0635,-0.0016105263157894,0.0254,-0.0401,0,1.0043399999999998,0.1190015320555956,0.8494,1.2446,0.3951999999999999,1.2446,-0.0699999999999999,0.1997,-0.141,-0.0036842105263157,0.11015,-0.1269,0,-0.08051,0.8424432180771655,-1.505,1.5925,3.0975,1.5925,-0.1925,1.6275,-1.26,-0.0101315789473684,1.0369,-1.04565,0,0.1255599999999999,5.4595614301786854,-8.015,10.6313,18.6463,10.6313,-3.1588000000000003,4.0425,-5.3111999999999995,-0.1662526315789473,3.5568999999999997,-4.5281,2,0.29225,0.2385727462707295,-0.0787,0.7,0.7787,0.7,0.1225,0.385,-0.5775,0.0064473684210526,0.2712,-0.34125,0
bumps,0.9955040143493694,1.193137284640791,0.8269317565555213,0.3662055280852697,3.163533662141046,8.93472264538749,0.69533256791265,8.23939007747484,-0.002705,0.0399218377780751,-0.0905,0.0392,0.1296999999999999,0.0905,-0.0448,0.0702,-0.0616,-0.0023578947368421,0.0363,-0.04435,0,0.03211,0.0529162486238494,-0.1266,0.1272,0.2538,0.1272,-0.0078,0.1026999999999999,-0.1389,-0.0004105263157894,0.061,-0.1269,1,0.9929899999999998,0.0750264227140222,0.8269,1.1843,0.3573999999999999,1.1843,-0.1662,0.121,-0.1245999999999999,-0.0087473684210526,0.0778999999999999,-0.12105,0,0.12381,2.4344602693518396,-4.9788,5.8275,10.8063,5.8275,4.515,3.3074999999999997,-5.118799999999999,0.2376315789473685,3.3074999999999997,-2.9313,2,1.358435,2.9055676474612815,-3.3075,8.4875,11.795000000000002,8.4875,4.2262,3.272500000000001,-3.5088000000000004,0.2224315789473684,2.9531500000000004,-3.5088000000000004,1,0.657125,0.4810687234798436,-0.2713,1.5925,1.8638,1.5925,0.9538,1.4874999999999998,-1.0237,0.0502,1.2075,-0.65625,0
bumps,1.006462832345565,1.1713190001020215,0.8607641140289249,0.3105548860730968,5.903112341907222,12.16730849202074,0.4291493096813742,11.738159182339365,0.0047799999999999,0.0469567617461448,-0.1067,0.0644,0.1711,0.1067,-0.0062,0.0475,-0.0528,-0.0003263157894736,0.02975,-0.0419,1,0.036705,0.0762629831914747,-0.1283,0.1721,0.3004,0.1721,0.0242,0.1475,-0.0856,0.0012736842105263,0.0978,-0.06395,3,1.00209,0.0939247397485992,0.8606,1.168,0.3073999999999999,1.168,-0.0761999999999999,0.1363000000000001,-0.0988999999999999,-0.0040105263157894,0.0767999999999999,-0.0772499999999999,0,-0.1680100000000001,4.281664843554002,-6.58,9.17,15.75,9.17,-1.1988,6.203799999999999,-4.1563,-0.0630947368421053,5.28065,-3.7975,3,0.2852400000000001,5.088121518989106,-6.3088,9.5112,15.82,9.5112,-2.0037,3.6051,-6.772500000000001,-0.1054578947368421,3.23315,-6.11625,2,0.4331199999999999,1.2701649103872092,-1.6013,2.9137,4.515,2.9137,-1.5137,2.5112,-2.1875,-0.0796684210526315,1.8287,-1.8812,0
bumps,0.9979330151181608,1.1708688483344325,0.8397116469360182,0.3311572013984143,7.2616749509541965,12.2299393244611,1.1479098701553183,11.08202945430578,0.001605,0.0499425509434274,-0.1045,0.0878,0.1923,0.1045,-0.0432,0.1100999999999999,-0.0575,-0.0022736842105263,0.04715,-0.0511,1,0.02952,0.105719134353347,-0.1435,0.2139,0.3574,0.2139,0.0189999999999999,0.0924,-0.2021,0.001,0.0904,-0.1431,4,0.991125,0.0892499616688698,0.8395,1.1625,0.323,1.1625,-0.1139,0.104,-0.0982999999999999,-0.0059947368421052,0.08125,-0.09385,0,0.113295,6.577312601381317,-11.1562,9.2137,20.3699,11.1562,3.2638000000000003,6.16,-7.6824,0.1717789473684209,5.5606,-6.60625,3,0.1286449999999999,4.420388619671471,-7.7087,8.0588,15.7675,8.0588,0.6999,3.9987,-3.9287,0.0368368421052631,3.8981,-3.3381,2,0.33382,0.9435912186958928,-1.4262,1.6712,3.0974,1.6712,1.3650000000000002,2.275,-1.6974999999999998,0.0718421052631579,1.365,-1.6974999999999998,0
bumps,1.0035200012126042,1.2309659702851252,0.8605779511467859,0.3703880191383393,4.392789513577698,10.29277031172852,0.4856052923929063,9.807165019335612,-0.0005999999999999,0.0773425191156707,-0.1322,0.1476,0.2798,0.1476,-0.0035999999999999,0.1689,-0.0959,-0.0001894736842105,0.0949,-0.07525,2,0.044815,0.0254016840510935,0.0159,0.0937,0.0778,0.0937,-0.0227,0.0741,-0.0477999999999999,-0.0011947368421052,0.0371,-0.0289999999999999,0,0.99941,0.1172216654126073,0.855,1.2268,0.3717999999999999,1.2268,-0.0711,0.1153999999999999,-0.1546999999999999,-0.0037421052631578,0.0868499999999999,-0.1216,0,0.132135,1.192618985909847,-1.5838,2.8788,4.4626,2.8788,1.155,1.6538,-1.6887,0.0607894736842105,1.6538,-1.5444,0,0.0559949999999999,5.228434254049778,-9.835,6.9387,16.7737,9.835,1.8988,5.0925,-3.6488,0.0999368421052631,4.66815,-3.22875,2,0.39331,0.2931416900085224,-0.1925,0.9625,1.155,0.9625,-0.0962,0.5775,-0.4025,-0.0050631578947368,0.3500999999999999,-0.33685,0
bumps,0.9975728182561956,1.198700967714634,0.8631957657449439,0.3355052019696901,4.462029642573958,9.155318997173174,0.9323932271311284,8.222925770042046,0.00506,0.0677874184879698,-0.1862,0.0863,0.2725,0.1862,-0.0396,0.0962,-0.2165,-0.0020842105263157,0.07295,-0.11115,1,0.044765,0.0306992075159158,-0.0054,0.1132,0.1186,0.1132,-0.0032,0.0566999999999999,-0.057,-0.0001684210526315,0.0404999999999999,-0.05025,0,0.99408,0.1109644162973451,0.8625,1.1958,0.3332999999999999,1.1958,-0.1282999999999999,0.1031999999999999,-0.1709999999999999,-0.0067526315789473,0.1019999999999999,-0.1164999999999999,0,0.2069399999999999,1.1558641007352122,-1.3825,2.3625,3.745,2.3625,1.3651,1.4087,-1.8988,0.0718473684210526,1.2338,-0.94505,0,0.316755,5.154038210698685,-9.1175,8.225,17.3425,9.1175,-0.2450000000000001,6.0024999999999995,-3.6225,-0.0128947368421052,4.4712499999999995,-3.2812,2,0.07569,0.2437895380078999,-0.56,0.525,1.085,0.56,0.4813,0.4288,-0.7613000000000001,0.0253315789473684,0.35005,-0.3675,0
bumps,1.0038268351486646,1.225979061811416,0.8316409682068339,0.3943380936045823,4.3259272894287,10.526702234793191,0.3289853796143531,10.19771685517884,0.01454,0.0431984697584727,-0.0503,0.1032,0.1535,0.1032,-0.0113,0.1535,-0.0903,-0.0005947368421052,0.0627,-0.0732,3,0.04099,0.0206539635548801,-0.0045,0.0893,0.0938,0.0893,0.0162,0.054,-0.0614,0.0008526315789473,0.03475,-0.01945,0,1.001845,0.1195738374614746,0.8306,1.2249,0.3943000000000001,1.2249,-0.0867999999999999,0.1541,-0.1378999999999999,-0.0045684210526315,0.1246499999999999,-0.1118499999999999,0,0.0135599999999999,0.5603619595263498,-0.945,1.26,2.205,1.26,-1.0063,0.6825,-1.1813,-0.0529631578947368,0.4944,-0.67375,0,0.20126,5.378941817906293,-8.505,10.4475,18.9525,10.4475,-3.4299,3.9287,-5.2326,-0.1805210526315789,3.5831,-4.6463,2,0.37451,0.2056346527729522,0.0262,0.7788,0.7526,0.7788,0.1138,0.35,-0.5338,0.0059894736842105,0.2975,-0.3763,0
bumps,0.9951804530879927,1.3837568102813442,0.799122087043025,0.5846347232383192,5.809895246610169,10.206476497792956,1.9803870530782617,8.226089444714695,0.005915,0.0852097923394155,-0.1089,0.1471,0.256,0.1471,-0.0226,0.1251,-0.1001,-0.0011894736842105,0.1251,-0.078,2,-0.0076,0.0570876426853344,-0.131,0.1405,0.2715,0.1405,-0.0099999999999999,0.0779,-0.1115,-0.0005263157894736,0.0549,-0.0805,1,0.990395,0.1501703155017486,0.7991,1.3735,0.5743999999999999,1.3735,-0.2248,0.2253,-0.2375,-0.0118315789473684,0.1689,-0.2189999999999999,0,-0.160985,3.466468604437754,-7.6912,4.2962,11.9874,7.6912,5.46,3.1937000000000006,-4.9,0.2873684210526315,2.87,-4.6944,2,-1.048685,5.363791888332553,-8.3912,8.3912,16.7824,8.3912,-3.2724,2.7037,-2.8,-0.1722315789473684,2.3056,-2.7869,1,-0.02801,0.4800103517524113,-0.9625,0.945,1.9075,0.9625,0.9275,0.9187,-0.7175,0.0488157894736842,0.86625,-0.63,0
